S. No.,Proposal No.,Proposal Details,Project Name,Location,Project Proponent,Issuing Authority,Proposal Status,State_Value,Activity Description
4,SIA/MH/THE/538806/2025,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/248356/2025
Category: B1
Sector: Thermal Projects
Date of Submission:
04/06/2025",Ideal Energy Projects Limited (Expansion of Existing Thermal Power Plant),MAHARASHTRA,IDEAL ENERGY PROJECTS LIMITED,SEIAA,"DELISTED BY SYSTEM
(at : 20/12/2025)",MAHARASHTRA,1(d) Thermal Power Plants
5,SIA/MH/THE/530089/2025,"Clearance Type: Application for Transfer of EC- Form-7
S/W No.: SW/240287/2025
Category: B1
Sector: Thermal Projects
Date of Submission:
18/03/2025","Transfer of Environmental Clearance (EC) of 30 MW Bagasse based Cogeneration Project at Village Pravaranagar-Loni, Taluka: Rahata, District: Ahmednagar, State: Maharashtra of M/s. Pravara Renewable Energy Ltd. (PREL) to M/s. Padmashri Dr. Vitthalrao Vikhe Patil Sahakari Sakhar Karkhana Limited (PDVVPSSKL).",MAHARASHTRA,PAD. DR. VITTHALRAO VIKHE PATIL SAHAKARI SAKHAR KARKHANA LTD.,SEIAA,EC Granted,MAHARASHTRA,1(d) Thermal Power Plants
6,SIA/MH/THE/487061/2024,"Clearance Type: Application for Transfer of EC- Form-7
S/W No.: SW/135098/2023
Category: B1
Sector: Thermal Projects
Date of Submission:
11/07/2024","Proposed 40 MW AFBC based Captive Power Plant at Kurla Village, Warora Tehsil, Chandrapur District by M/s ISMT Limited",MAHARASHTRA,OMSAIRAM STEELS AND ALLOYS PVT LTD,SEIAA,Under Verification,MAHARASHTRA,1(d) Thermal Power Plants
7,SIA/MH/THE/429265/2023,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/128375/2023
Category: B1
Sector: Thermal Projects
Date of Submission:
19/05/2023","Proposed expansion of Sugar Unit from 5000 TCD to 10000TCD & Cogeneration unit from 15MW to 32MW at post- Tirthpuri, Tal -Ghansawangi, Dist-Jalna by M/s. Karmayogi Ankushrao Tope Sahakari Sakhar Karkhana Ltd., Unit No.2 (Sagar)",MAHARASHTRA,M/S SAMARTHA SAHAKARI SAKHAR KARKHANA LTD.,SEIAA,EC Granted,MAHARASHTRA,1(d) Thermal Power Plants
1,SIA/MH/IND3/522085/2025,"Clearance Type: Application for Amendment in EC- Form-4
S/W No.: SW/233407/2025
Category: B1
Sector: Industrial Projects - 3
Date of Submission:
10/02/2025","Amendment in Environmental Clearance for Greenfield Project of SSP - 300 MTPD, GSSP - 200 MTPD and other sulphate based Fertilizer at Village Takewadi, Taluka-Man, Satara by M/s Shree Agro Crop Sciences Pvt. Ltd.",MAHARASHTRA,SHREE AGRO CROP SCIENCES PVT. LTD,SEIAA,EC Granted,MAHARASHTRA,5(a) Chemical fertilizers
2,SIA/MH/IND3/408740/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/109852/2022
Category: B1
Sector: Industrial Projects - 3
Date of Submission:
23/11/2023","Installation of Single Super Phosphate & Granulated Single Super Phosphate Plant at Gat No. 499, Biranwadi, Tal: Tasgaon, District: Sangli, Maharashtra by M/s Nirmiti Asmita Agro Pvt. Ltd",MAHARASHTRA,NIRMITI ASMITA AGRO PRIVATE LIMITED,SEIAA,TOR GRANTED,MAHARASHTRA,5(a) Chemical fertilizers
3,SIA/MH/IND3/408102/2022,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/109327/2022
Category: B1
Sector: Industrial Projects - 3
Date of Submission:
28/11/2022","Proposed Single Super Phosphate and Granulated Single Super Phosphate Plant at Plot No. T-T-53/6, Kagal- Hatkanangale Five Star Industrial Area, MIDC, Kolhapur, Maharashtra- 416122 by M/s Delta Irrigation LLP.",MAHARASHTRA,DELTA IRRIGATION LLP,SEIAA,TOR GRANTED,MAHARASHTRA,5(a) Chemical fertilizers
1,SIA/MH/IND2/497999/2024,"Clearance Type: Application for Transfer of EC- Form-7
S/W No.: SW/208400/2024
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
24/09/2024","Transfer of Environmental Clearance of 29,000 LPD grain Based distillery unit By M/s Shree Sidhivinayak Enterprises Pvt. Ltd., 198/7798, Kannamwar Nagar-2, Vikroli ( E), Mumbai- 400 083 ( Location Of Project – Plot No.- C-11, Kagal- Hatkangale Industrial Area, Kolhapur, Maharashtra . ) To M/s Melkar TTI Biofuels Limited, Plot no.39, Pillerne Industrail Estate, Pillerne, Bardez, Goa ( Location Of Project – Plot No.- C-11, Kagal- Hatkangale Industrial Area, Kolhapur, Maharashtra )",MAHARASHTRA,MELKER TTI BIOFUELS LIMITED,SEIAA,"DELISTED BY SYSTEM
(at : 02/04/2025)",MAHARASHTRA,5(ga) Grain based distilleries
1,SIA/ML/IND1/575178/2026,"Clearance Type: Application for Corrigendum Form-13
S/W No.: SW/260657/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
09/04/2026","Integrated Cement Plant with capacity of clinker: 0.95 million TPA, Cement: 0.99 million TPA (OPC, PPC, PSC, SRC, RHPC & Composite Cement) CPP: 15 MW, WHRS: 7 MW) and DG Sets 2500 KVA (1x2500 KVA or 2X1000 KVA & 1X500 KVA or 1x1000 KVA, 2x500 KVA & 2x250KVA) in Khara Siang Lum Pyrshin in Daistong village, Elaka: Nongkhlieh Dolloiship, District of East Jaintia Hills (Meghalaya) by Shree Cement Ltd.",MEGHALAYA,Shree Cement Limited,SEIAA,EC Granted,MEGHALAYA,3(b) Cement plants
2,SIA/ML/IND1/570078/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/260657/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
23/02/2026","Integrated Cement Plant with capacity of clinker: 0.95 million TPA, Cement: 0.99 million TPA (OPC, PPC, PSC, SRC, RHPC & Composite Cement) CPP: 15 MW, WHRS: 7 MW) and DG Sets 2500 KVA (1x2500 KVA or 2X1000 KVA & 1X500 KVA or 1x1000 KVA, 2x500 KVA & 2x250KVA) in Khara Siang Lum Pyrshin in Daistong village, Elaka: Nongkhlieh Dolloiship, District of East Jaintia Hills (Meghalaya) by Shree Cement Ltd.",MEGHALAYA,Shree Cement Limited,SEIAA,EC Granted,MEGHALAYA,3(b) Cement plants
3,SIA/ML/IND1/569540/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1
S/W No.: SW/260657/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
23/02/2026","Integrated Cement Plant with capacity of clinker: 0.95 million TPA, Cement: 0.99 million TPA (OPC, PPC, PSC, SRC, RHPC & Composite Cement) CPP: 15 MW, WHRS: 7 MW) and DG Sets 2500 KVA (1x2500 KVA or 2X1000 KVA & 1X500 KVA or 1x1000 KVA, 2x500 KVA & 2x250KVA) in Khara Siang Lum Pyrshin in Daistong village, Elaka: Nongkhlieh Dolloiship, District of East Jaintia Hills (Meghalaya) by Shree Cement Ltd.",MEGHALAYA,Shree Cement Limited,SEIAA,Proposal pulled back (withdrawn),MEGHALAYA,3(b) Cement plants
4,SIA/ML/IND1/552331/2025,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/260657/2025
Category: B1
Sector: Industrial Projects - 1
Date of Submission:
29/09/2025","Integrated Cement Plant with capacity of clinker: 0.95 million TPA, Cement: 0.99 million TPA (OPC, PPC, PSC, SRC, RHPC & Composite Cement) CPP: 15 MW, WHRS: 7 MW) and DG Sets 2500 KVA (1x2500 KVA or 2X1000 KVA & 1X500 KVA or 1x1000 KVA, 2x500 KVA & 2x250KVA) in Khara Siang Lum Pyrshin in Daistong village, Elaka: Nongkhlieh Dolloiship, District of East Jaintia Hills (Meghalaya) by Shree Cement Ltd.",MEGHALAYA,Shree Cement Limited,SEIAA,ToR Granted,MEGHALAYA,3(b) Cement plants
1,SIA/ML/THE/544218/2025,"Clearance Type: Application for Transfer of EC- Form-7
S/W No.: SW/253323/2025
Category: B1
Sector: Thermal Projects
Date of Submission:
24/07/2025","43 MW imported coal based Thermal Power Plant project at Lumshnong, East Jaintia Hills District, Meghalaya",MEGHALAYA,STAR CEMENT MEGHALAYA LIMITED,SEIAA,Proposal pulled back (withdrawn),MEGHALAYA,1(d) Thermal Power Plants
2,SIA/ML/THE/544143/2025,"Clearance Type: Application for Transfer of EC- Form-7
S/W No.: SW/251048/2025
Category: B1
Sector: Thermal Projects
Date of Submission:
23/07/2025","100% Coal-based 8 MW Thermal Power Plant project at Lumshnong, East Jaintia Hills District, Meghalaya",MEGHALAYA,STAR CEMENT MEGHALAYA LIMITED,SEIAA,Proposal pulled back (withdrawn),MEGHALAYA,1(d) Thermal Power Plants
1,SIA/ML/IND2/539275/2025,"Clearance Type: Application for Transfer of EC- Form-7
S/W No.: SW/248002/2025
Category: A
Sector: Industrial Projects - 2
Date of Submission:
02/06/2025","Transfer of Environmental Clearance for a 100 KLPD grain-based distillery unit with a 3.5 MW co-generation power plant, located at New Industrial Area (MIDC), Byrnihat, District Ri Bhoi, Meghalaya, from M/s. CMJ Breweries Pvt. Ltd. to S.P.Y. Agro Industries (NE) Private Limited.",MEGHALAYA,S.P.Y AGRO INDUSTRIES (NE) PRIVATE LIMITED,SEIAA,EC Granted,MEGHALAYA,5(g) Distilleries
1,SIA/OR/IND2/585853/2026,"Clearance Type: Application for Validity Extension of EC- Form-6
S/W No.: SW/289998/2026
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
18/07/2026","Application for Extension of validity of EC for Production of 1.0 KLD Mohua Flower Based Out Still country Liquor manufacturing unit, M/s Dadhiamajhiguda main O.S Shop At/ Mouza- Butimajhi Simla, Tahasil- Kodinga, District- Nabarangpur in favour of the Licensee Sri Subash Chandra Agrawal.",ODISHA,SUBHASA AGRAWAL,SEIAA,Under Verification,ODISHA,5(g) Distilleries
2,SIA/OR/IND2/585734/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/289869/2026
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
17/07/2026","Application of Environmental Clearance for production of 1.5 KLD Mahua flower based out still country liquor manufacturing unit of M/s Ranibagicha Main out still liquor shop at Gurabasa common distillation center At/ Village- Gurabasa, Tahasil/ District- Sundargarh in favor of M/s Kishore Prasad Bijay Prasad & Co.",ODISHA,KISHORE PRASAD BIJAY PRASAD and CO,SEIAA,Under Verification,ODISHA,5(g) Distilleries
3,SIA/OR/IND2/585696/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/289868/2026
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
17/07/2026","Application of Environmental Clearance for production of 1.5 KLD Mahua flower based out still country liquor manufacturing unit of M/s Gurabasa Main out still liquor shop at Gurabasa common distillation center At/ Village- Gurabasa, Tahasil/ District- Sundargarh in favor of M/s Kishore Prasad Bijay Prasad & Co.",ODISHA,KISHORE PRASAD BIJAY PRASAD and CO,SEIAA,Under Verification,ODISHA,5(g) Distilleries
4,SIA/OR/IND2/585705/2026,"Clearance Type: Application for Validity Extension of EC- Form-6
S/W No.: SW/228499/2025
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
17/07/2026","Extension of Validity for Mahua Flower Based Country Liquour Manufacturing Unit,M/s. Podamari main out still liquour Shop at Podamari,Dist-Ganjam of Smt.Rebati Sahu",ODISHA,REBATI SAHU,SEIAA,Under Verification,ODISHA,5(g) Distilleries
5,SIA/OR/IND2/585323/2026,"Clearance Type: Application for Validity Extension of EC- Form-6
S/W No.: SW/201150/2024
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
13/07/2026",Extension of validity of environmental clearance for production of Country Liquor w r. to Bhabinipur O.S. Shop of Sri Ch. Kameshu.,ODISHA,CH. KAMESHU,SEIAA,Under Verification,ODISHA,5(g) Distilleries
6,SIA/OR/IND2/585076/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/289308/2026
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
11/07/2026",Environmental Clearance for production of country liquor from the manufacturing unit of Jamda O.S. Shop of M/s Baldeo Sahu & Sons.,ODISHA,BALDEO SAHU AND SONS,SEIAA,Under Verification,ODISHA,5(g) Distilleries
7,SIA/OR/IND2/585060/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/289307/2026
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
11/07/2026",Environmental Clearance for production of country liquor from the manufacturing unit of M/s Danipali O.S. Shop of M/s Baldeo Sahu & Sons.,ODISHA,BALDEO SAHU AND SONS,SEIAA,Under Verification,ODISHA,5(g) Distilleries
8,SIA/OR/IND2/585038/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/289309/2026
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
11/07/2026",Environmental Clearance for production of country liquor from the manufacturing unit of Kukurikani O.S. Shop of M/s Baldeo Sahu Shiv Prasad Sahu.,ODISHA,BALDEO SAHU SHIVA PRASAD SAHU,SEIAA,Under Verification,ODISHA,5(g) Distilleries
9,SIA/OR/IND2/585089/2026,"Clearance Type: Application for Validity Extension of EC- Form-6
S/W No.: SW/286095/2026
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
11/07/2026","Proposal for Extension of validity of EC for production of 1.0 KLD Mahua Flower Based country Liquor manufacturing unit at village-Bhatakumarada, Tahasil-Purusottampur, Dist-Ganjam of Sri Ramesh Chandra Sahu",ODISHA,SRI RAMESH CHANDRA SAHU,SEIAA,Referred to SEIAA,ODISHA,5(g) Distilleries
10,SIA/OR/IND2/585019/2026,"Clearance Type: Application for Validity Extension of EC- Form-6
S/W No.: SW/257261/2025
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
10/07/2026","Extension of Validity of EC for Production of 1.0 KLD mahua flower based out still country liquor manufacturing unit of M/s Borigaon Main O.S Shop at- Borigaon, Tahasil- Kukudakhandi, Dist.- Ganjam of Sri Rajendra Kumar Patro",ODISHA,RAJENDRA KUMAR PATRA,SEIAA,Referred to SEIAA,ODISHA,5(g) Distilleries
11,SIA/OR/IND2/583564/2026,"Clearance Type: Application for Validity Extension of EC- Form-6
S/W No.: SW/228499/2025
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
27/06/2026","Extension of Validity for Mahua Flower Based Country Liquour Manufacturing Unit,M/s. Podamari main out still liquour Shop at Podamari,Dist-Ganjam of Smt.Rebati Sahu",ODISHA,REBATI SAHU,SEIAA,EC Rejected,ODISHA,5(g) Distilleries
12,SIA/OR/IND2/583549/2026,"Clearance Type: Application for Validity Extension of EC- Form-6
S/W No.: SW/257175/2025
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
27/06/2026","Proposal for Extension of validity of EC for Production of 2.064 KLD Mahua Flower Based Country Liquor Manufacturing Unit,Baradi(Tatabali) Main Out Still Liquor Shop, at village-Baradi (Tatabali), Tahasil- Sorada, Dist-Ganjam of Sri Rajendra Kumar Sahu",ODISHA,RAJENDRA SAHU,SEIAA,EC Rejected,ODISHA,5(g) Distilleries
13,SIA/OR/IND2/583387/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/287869/2026
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
26/06/2026","Environmental Clearance for production of country liquor from the manufacturing unit of M/s Khalana O.S. Shop of Sri Raghunath Sahoo.l,",ODISHA,raghunath sahoo,SEIAA,Under Verification,ODISHA,5(g) Distilleries
14,SIA/OR/IND2/573933/2026,"Clearance Type: Application for Validity Extension of EC- Form-6
S/W No.: SW/279740/2026
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
24/06/2026","Proposal for validity extension of environmental Clearance (EC) for production of 1.0 KLD Mahua Flower based country liquor manufacturing unit M/s Durbandha Main Out Still Liquor Shop in village- Kanchuru, Tahasil- Hinjilicut, Dis- Ganjam in favour of Smt Salma Khan.",ODISHA,SALMA KHAN,SEIAA,Referred to SEIAA,ODISHA,5(g) Distilleries
15,SIA/OR/IND2/582364/2026,"Clearance Type: Application for Validity Extension of EC- Form-6
S/W No.: SW/257142/2025
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
16/06/2026",Validity extension of environmental clearance for production of country liquor from the manufacturing unit of M/s Hatipada O.S. Shop of Ranga Heremba Reddy,ODISHA,R HERAMBA REDDY,SEIAA,EC Granted,ODISHA,5(g) Distilleries
16,SIA/OR/IND2/582362/2026,"Clearance Type: Application for Validity Extension of EC- Form-6
S/W No.: SW/257141/2025
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
16/06/2026",Validity extension of environmental clearance for production of country liquor from the manufacturing unit of M/s Kalabada O.S. Shop of Sri B Mohan Rao,ODISHA,SRI B MOHAN RAO,SEIAA,EC Granted,ODISHA,5(g) Distilleries
17,SIA/OR/IND2/582057/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/286713/2026
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
13/06/2026","Application of Environmental Clearance for production of 1.50 KLD Mahua flower based out still country liquor manufacturing unit of M/s Kadoguchha Main out still liquor shop At/ Village- Kadoguchha, Tahasil- Paikamala, District- Bargarh in favor of Sri Rupesh Kumar Agrawal.",ODISHA,Rupesh Kumar Agrawal,SEIAA,Under Verification,ODISHA,5(g) Distilleries
18,SIA/OR/IND2/581494/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/286245/2026
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
13/06/2026","Application of Environmental Clearance for production of 1.350KLD Mahua flower based out still country liquor manufacturing unit of M/s Kandetara Main out still liquor shop At/ Village- Kandetara, Tahasil- Komna, District- Nuapada in favor of Sri Lingraj Agrawal.",ODISHA,Lingraj Agrawal,SEIAA,Under Verification,ODISHA,5(g) Distilleries
19,SIA/OR/IND2/582054/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/286707/2026
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
13/06/2026","Application of Environmental Clearance for production of 1.35 KLD Mahua flower based out still country liquor manufacturing unit of M/s Jamki Main out still liquor shop At/ Village- Jamki, Tahasil- Turkela, District- Balangir in favor of Sri Magan Kumar Agrawal.",ODISHA,Magan Kumar Agrawal,SEIAA,Under Verification,ODISHA,5(g) Distilleries
20,SIA/OR/IND2/581968/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/286616/2026
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
12/06/2026","Application of Environmental Clearance for production of 1.89 KLD Mahua flower based out still country liquor manufacturing unit of M/s Kapani Main out still liquor shop At/ Village- Kapani, Tahasil- Belpara, District- Balangir in favor of Smt Payal Agrawal.",ODISHA,Payal Agrawal,SEIAA,Under Verification,ODISHA,5(g) Distilleries
21,SIA/OR/IND2/582005/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/286665/2026
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
12/06/2026","Application of Environmental Clearance for production of 0.81 KLD Mahua flower based out still country liquor manufacturing unit of M/s Khaprakhol Main out still liquor shop At/ Village- Khaprakhol, Tahasil- Khaprakhol, District- Balangir, in favor of Sri Magan Kumar Agrawal.",ODISHA,Magan Kumar Agrawal,SEIAA,Under Verification,ODISHA,5(g) Distilleries
22,SIA/OR/IND2/581011/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1
S/W No.: SW/285856/2026
Category: B2
Sector: Industrial Projects - 2
Date of Submission:
10/06/2026","Application of Environmental Clearance for production of 2.16KLD Mahua flower based out still country liquor manufacturing unit of M/s Phulijhar Main out still liquor shop At/ Village- Phulijhar, Tahasil- Khaprakhol, District- Balangir in favor of Sri Rajesh Kumar Agrawal.",ODISHA,Rajesh Kumar Agrawal,SEIAA,Under Verification,ODISHA,5(g) Distilleries
